SaleDate,ProductName,StoreName,QuantitySold,Revenue,StockAvailable,LeadTimeDays,Promotion,Month,DayOfWeek,DemandLevel
2025-12-13,Laptop,Bangalore,1,55000,109,8,1,12,5,Low
2025-10-07,Laptop,Delhi,11,605000,221,4,0,10,1,Medium
2025-10-10,SSD,Chennai,27,121500,221,3,0,10,4,High
2025-07-04,Keyboard,Delhi,16,24000,250,2,1,7,4,Medium
2025-04-05,Laptop,Hyderabad,19,1045000,187,8,0,4,5,Medium
2025-08-08,Laptop,Chennai,30,1650000,206,4,1,8,4,High
2025-09-03,Laptop,Hyderabad,10,550000,73,1,0,9,2,Medium
2025-08-27,Mouse,Chennai,23,16100,128,5,0,8,2,High
2025-08-02,Keyboard,Bangalore,19,28500,37,1,1,8,5,Medium
2025-06-11,SSD,Mumbai,16,72000,207,9,1,6,2,Medium
2025-12-13,Mouse,Mumbai,27,18900,147,5,1,12,5,High
2025-09-26,Printer,Bangalore,2,36000,240,3,1,9,4,Low
2025-03-24,Tablet,Bangalore,24,720000,58,2,0,3,0,High
2025-06-10,SSD,Mumbai,27,121500,214,6,1,6,1,High
2025-05-15,Router,Bangalore,25,62500,133,2,1,5,3,High
2025-12-02,Router,Bangalore,18,45000,185,3,0,12,1,Medium
2025-02-16,Keyboard,Hyderabad,21,31500,102,8,0,2,6,High
2025-07-23,Laptop,Mumbai,16,880000,169,3,0,7,2,Medium
2025-02-21,Keyboard,Delhi,7,10500,156,10,0,2,4,Low
2025-02-20,Keyboard,Chennai,11,16500,236,4,1,2,3,Medium
2025-07-19,Printer,Chennai,12,216000,248,8,0,7,5,Medium
2025-04-15,Tablet,Delhi,16,480000,25,8,0,4,1,Medium
2025-07-03,Router,Mumbai,15,37500,138,7,1,7,3,Medium
2025-07-04,Laptop,Mumbai,16,880000,68,2,0,7,4,Medium
2025-04-29,Router,Bangalore,13,32500,249,7,1,4,1,Medium
2025-10-07,Router,Delhi,10,25000,229,4,1,10,1,Medium
2025-03-14,Monitor,Chennai,21,252000,225,4,1,3,4,High
2025-11-15,Keyboard,Delhi,4,6000,189,7,1,11,5,Low
2025-11-20,Monitor,Chennai,24,288000,239,8,0,11,3,High
2025-06-18,Mouse,Chennai,13,9100,131,5,1,6,2,Medium
2025-07-17,Printer,Bangalore,14,252000,91,10,0,7,3,Medium
2025-03-21,Router,Chennai,18,45000,65,3,1,3,4,Medium
2025-10-30,SSD,Mumbai,1,4500,133,4,0,10,3,Low
2025-10-30,Laptop,Chennai,1,55000,58,9,0,10,3,Low
2025-09-16,Keyboard,Hyderabad,17,25500,157,1,1,9,1,Medium
2025-09-22,Printer,Chennai,12,216000,174,7,0,9,0,Medium
2025-05-28,SSD,Hyderabad,12,54000,85,4,0,5,2,Medium
2025-07-16,Mouse,Hyderabad,20,14000,228,6,1,7,2,High
2025-10-07,SSD,Chennai,11,49500,97,5,1,10,1,Medium
2025-08-17,SSD,Chennai,16,72000,117,4,1,8,6,Medium
2025-09-10,Keyboard,Mumbai,4,6000,16,6,1,9,2,Low
2025-05-30,Mouse,Chennai,18,12600,120,3,0,5,4,Medium
2025-03-05,Keyboard,Delhi,29,43500,37,10,1,3,2,High
2025-05-19,Tablet,Mumbai,24,720000,132,4,1,5,0,High
2025-01-08,Router,Delhi,1,2500,46,1,0,1,2,Low
2025-12-30,Printer,Mumbai,16,288000,142,3,1,12,1,Medium
2025-05-20,Monitor,Hyderabad,1,12000,199,6,0,5,1,Low
2025-07-29,Monitor,Delhi,10,120000,75,5,1,7,1,Medium
2025-02-05,Monitor,Chennai,13,156000,55,5,1,2,2,Medium
2025-03-01,SSD,Delhi,29,130500,160,8,0,3,5,High
2025-09-16,Keyboard,Bangalore,3,4500,141,5,1,9,1,Low
2025-11-02,Router,Chennai,22,55000,71,10,1,11,6,High
2025-08-29,Router,Hyderabad,29,72500,86,5,0,8,4,High
2026-01-01,Mouse,Delhi,13,9100,202,3,0,1,3,Medium
2025-07-03,Tablet,Chennai,21,630000,10,6,0,7,3,High
2025-10-05,Tablet,Bangalore,8,240000,55,5,0,10,6,Low
2025-05-18,Laptop,Mumbai,27,1485000,90,10,1,5,6,High
2025-11-25,SSD,Mumbai,22,99000,212,4,1,11,1,High
2025-11-09,Router,Bangalore,25,62500,189,5,1,11,6,High
2025-10-24,Tablet,Delhi,12,360000,197,4,1,10,4,Medium
